职位,薪资,经验,学历,城市,地区,公司名称,公司规模,职位描述,公司福利
python爬虫工程师,7-10K,经验不限,学历不限,广州,天河区,优可多,20-99人,"['爬虫', '数据开发', '后端', 'Python', '爬虫经验', '计算机相关专业']","['加班补助', '节日福利']"
大数据、SQL、爬虫、Python,8-11K,1-3年,本科,广州,越秀区,东信网络,1000-9999人,"['网络爬虫技术', 'MySQL']",[]
Python,15-16K,经验不限,学历不限,广州,花都区,标匹,500-999人,"['后端', '爬虫', '数据开发']",[]
Python,5-10K,1年以内,本科,广州,白云区,广东同欣智能科技,20-99人,"['Python', 'MySQL', '计算机相关专业', '英语读写能力良好']","['节日福利', '零食下午茶', '全勤奖', '补充医疗保险', '股票期权', '带薪年假', '五险一金', '员工旅游', '年终奖']"
Python爬虫工程师,4-6K,经验不限,学历不限,广州,海珠区,三猪科技,0-20人,['网络爬虫技术'],[]
初级python工程师,3-7K,经验不限,学历不限,广州,荔湾区,仕昊商贸,20-99人,"['爬虫', 'Python', 'PHP', 'Java', '爬虫经验', '服务端开发经验', '全栈开发经验']",[]
python、c++老师（兼职）,200-400元/天,1年以内,本科,广州,番禺区,阿南教育科技,20-99人,"['兼职工作', '线下教学']","['节日福利', '绩效奖金', '生日福利', '五险一金', '底薪加提成', '带薪年假', '零食下午茶', '法定节假日三薪']"
python开发实习生,5-7K,经验不限,本科,广州,天河区,钧誉资产,100-499人,"['数据开发', 'Python', '计算机相关专业']","['年终奖', '补充医疗保险', '五险一金', '员工旅游', '团建聚餐', '带薪年假', '节日福利', '生日福利', '零食下午茶']"
MySQL自动化测试（python+django框架）,8-12K·13薪,1-3年,本科,广州,天河区,人人租,500-999人,"['自动化测试', 'Python', 'MySQL', '自动化测试经验', '掌握软件测试理论和流程', '数据量级十万以上']","['员工旅游', '年终奖', '全勤奖', '生日红包', '加班补助', '餐补', '节日福利', '带薪年假', '五险一金', '股票期权', '定期体检', '零食下午茶']"
运维工程师（python必备）,8-12K·13薪,1-3年,大专,广州,天河区,道一云,500-999人,"['系统运维', 'Python/Shell']","['周末双休', '定期体检', '年终奖', '节日福利', '带薪年假', '五险一金', '餐补']"
初级python开发工程师,5-8K,经验不限,学历不限,广州,海珠区,比特鹰,20-99人,"['后端', 'Python', '计算机相关专业']","['包吃', '员工旅游', '餐补', '零食下午茶', '团建聚餐', '股票期权', '五险一金', '带薪年假', '生日福利', '年终奖', '保底工资', '节日福利']"
python实习生,3-4K,经验不限,本科,广州,天河区,嘉为科技,500-999人,"['后端', 'Python', 'MySQL', '计算机相关专业']","['带薪年假', '节日福利', '股票期权', '通讯补贴', '年终奖', '五险一金']"
实习生 20244毕业生 python开发工程师,3-6K,经验不限,学历不限,广州,黄埔区,广农数链信息科技,20-99人,['Python'],"['股票期权', '带薪年假', '节日福利', '五险']"
